id,topic_name,description,overall_sentiment,solution
1,data_usage,"My data finished in just 2 weeks, this is ridiculous!",negative,"I understand your frustration with data running out quickly. I recommend our Data Boost package which provides 10GB of high-speed data for just $5. This will immediately restore your internet speeds. Additionally, we can set up usage alerts to notify you at 50%, 80%, and 100% of your data limit. Would you like me to activate the Data Boost and set up these alerts for you?"
2,billing_issues,The bill this month seems accurate and fair,positive,"Thank you for your positive feedback! I'm glad to hear our billing is meeting your expectations. For even more convenience, I recommend setting up autopay to ensure your service continues uninterrupted. You'll also receive payment confirmation emails and can track your payment history through our mobile app. Is there anything else I can assist you with today?"
3,network_coverage,Do you have 5G coverage in downtown area?,neutral,"Yes, we have excellent 5G coverage throughout the downtown area with speeds up to 1Gbps. Our network map shows strong signal strength in all major downtown locations including business districts, shopping centers, and residential areas. For the best experience, ensure your device is 5G-compatible and has the latest software update. Would you like me to check the specific signal strength for your frequent locations?"
4,international_roaming,Roaming charges drained my entire balance!,negative,"I apologize for the unexpected roaming charges. Let me help you with our International Roaming Pack which offers 5GB data, unlimited calls and 100 SMS for $15 for 7 days. I can also refund 50% of the unexpected charges as a goodwill gesture. For future travels, I recommend activating roaming packs before you travel to avoid bill shocks. Shall I process both the refund and the roaming pack for you?"
5,plan_upgrade,I want to upgrade to a better plan with more data,positive,"That's great! I recommend our Premium Plan which offers 100GB data, unlimited calls, free streaming subscriptions, and international roaming benefits for $60/month. This plan would give you 50GB more data than your current plan with additional perks. The upgrade will be effective immediately and prorated for the current billing cycle. Would you like me to proceed with this upgrade?"
6,device_support,My phone is not connecting to the network properly,negative,"I understand the connectivity issue is frustrating. Let's troubleshoot step by step: First, please restart your device. Then check if airplane mode is off. I can also push a network settings update to your phone remotely. If the issue persists, we can check for network outages in your area or arrange a SIM card replacement at our nearest store. Which step would you like to try first?"
7,customer_service,The wait time to reach support was too long,negative,"I sincerely apologize for the long wait time. We're currently implementing additional support staff and a callback system to improve this. As compensation, I'm applying a $10 credit to your account. For faster service in future, I recommend using our chat support in the mobile app which typically has shorter wait times. Is there anything specific I can help you with right now?"
8,data_usage,Can you tell me how much data I have left this month?,neutral,"Of course! You have 12.5GB remaining from your 50GB monthly allocation, which is 25% of your total data. Your data will reset on the 15th of next month. You can track your real-time usage through our mobile app which shows daily consumption patterns and which apps are using the most data. Would you like me to set up data usage notifications for you?"
9,billing_issues,Why was I charged an extra $10 this month?,negative,"I see the $10 charge is for our new Value-Added Services package that was automatically added. I apologize for any confusion - let me remove this charge immediately and refund the amount. To prevent similar issues, I've disabled auto-addition of new services to your account. You'll see the refund in your next billing statement. Is there anything else I can clarify about your bill?"
10,network_coverage,The network speed in my office is very slow,negative,"I understand slow speeds can be frustrating, especially during work hours. Let me check your area - I see there's a network optimization scheduled for tomorrow that should improve speeds. Meanwhile, I recommend connecting to WiFi for data-intensive tasks. I can also provide a mini signal booster for your office at no cost for 30 days. Would you like me to arrange the signal booster for you?"
11,international_roaming,What are the roaming rates for Europe?,neutral,"For Europe, we offer three roaming packages: Basic ($10 for 2GB data, 100 mins), Standard ($20 for 5GB data, unlimited calls), and Premium ($30 for 10GB data, unlimited calls + SMS). All packages are valid for 10 days. I recommend the Standard package for most travelers. You can activate it through our app before you travel. Which countries specifically will you be visiting?"
12,plan_upgrade,Is it worth upgrading from my current 20GB plan?,neutral,"Based on your usage patterns, you typically use 18-22GB monthly, which is very close to your limit. Upgrading to our 40GB plan for $15 more would prevent speed throttling and give you breathing room. You'd also get free access to our music streaming service. The upgrade can be done instantly with prorated billing. Would you like to see the detailed comparison between plans?"
13,device_support,How do I enable WiFi calling on my iPhone?,neutral,"To enable WiFi calling: Go to Settings > Phone > WiFi Calling, then toggle 'WiFi Calling on This iPhone'. You may need to update your emergency address. This feature is great for areas with poor cellular coverage but good WiFi. Once enabled, your phone will automatically use WiFi for calls when cellular signal is weak. Do you need help with any of these steps?"
14,customer_service,The support agent I spoke with yesterday was very helpful,positive,"Thank you for sharing this wonderful feedback! I'll make sure to pass along your compliments to the agent and their team. We truly appreciate customers like you who take the time to share positive experiences. As a token of our appreciation, I'm adding 2GB of bonus data to your account this month. Is there anything else I can assist you with today?"
15,data_usage,I received a data usage alert but I wasn't using my phone,negative,I understand your concern about unexpected data usage. Let me check your account - I see background app updates used 1.5GB overnight. I recommend disabling 'background app refresh' for non-essential apps and setting up data saver mode. I'm also applying a 3GB data credit to cover this unexpected usage. Would you like me to guide you through optimizing your data settings?
16,billing_issues,"I noticed a discount on my bill this month, thank you!",positive,"You're most welcome! I see the $15 loyalty discount has been applied to your account for being with us over 2 years. We truly value your continued trust in our service. For even more benefits, I recommend exploring our premium plan which includes additional perks at a special rate for loyal customers like you. Is there anything else I can assist with today?"
17,network_coverage,Why does my call keep dropping when I'm driving on the highway?,negative,"I understand how frustrating call drops during travel can be. This typically happens during handoffs between cell towers. I recommend enabling WiFi calling for backup connectivity and ensuring your device software is updated. I'm also reporting this to our network team to optimize coverage along that highway route. As a temporary solution, would you like me to enable call continuity features on your account?"
18,international_roaming,Can I use my current data package while traveling to Canada?,neutral,"For Canada, your domestic data package doesn't apply. However, we have special North America Roaming packs starting at $10 for 3GB data valid for 7 days. The pack includes calls and texts to US/Canada numbers. I recommend activating it before you travel through our mobile app. Would you like me to send you the detailed package options via email?"
19,plan_upgrade,My current plan is too expensive for what I use,negative,"I understand your concern about getting value for money. Based on your usage of 8GB data and minimal calling, I recommend switching to our Basic Plan at $25/month which includes 15GB data and unlimited calls. This would save you $20 monthly while meeting your needs. The switch is immediate with pro-rated billing. Shall I help you downgrade to this more suitable plan?"
20,device_support,My phone says 'No Service' even after restarting,negative,"I apologize for the service disruption. Let's try a network settings reset which often resolves this issue. Go to Settings > General > Reset > Reset Network Settings. This will clear all network configurations without affecting your data. If this doesn't work, we can arrange a SIM replacement at any of our stores. Would you like me to guide you through the reset process step by step?"
21,customer_service,The store representative was very patient with my elderly mother,positive,"Thank you for sharing this heartwarming feedback! We strive to provide exceptional service to all customers, especially seniors who may need extra assistance. I'll ensure this feedback reaches both the store manager and the representative. As our appreciation, I'm adding a complimentary month of our premium caller ID service to your account. Is there anything else your mother needs assistance with?"
22,data_usage,Why is my data speed so slow after I reached my limit?,neutral,"When you reach your monthly data limit, your speeds are reduced to 512Kbps for basic browsing and emails. This is to ensure you stay connected while managing costs. You can restore high-speed data by purchasing a Data Boost pack or upgrading to a plan with more data. Would you like me to explain the Data Boost options available?"
23,billing_issues,There's a charge for a service I never subscribed to,negative,"I apologize for this error. I see the $8 charge for 'Premium Support' that was added automatically. Let me remove this charge immediately and process a refund. To prevent recurrence, I've disabled automatic service additions on your account. You should see the refund in 3-5 business days. I'm also applying a $5 credit for the inconvenience. Is there anything else I can fix?"
24,network_coverage,Is 5G available in rural areas or just cities?,neutral,"5G is currently focused in urban and suburban areas, but we're expanding to rural locations throughout this year. Most rural areas currently have strong 4G LTE coverage with speeds up to 100Mbps. You can check our coverage map for specific locations. We expect 5G to reach most rural areas by end of next quarter. Would you like me to check coverage for your specific rural location?"
25,international_roaming,My phone connected to a foreign network but I can't make calls,negative,"I understand the frustration of being unable to connect while abroad. This usually happens when manual network selection is needed. Go to Settings > Mobile Networks > Network Operators and select 'Auto Select'. If that doesn't work, restart your phone overseas. I can also check if international roaming is fully activated on your account. Would you like me to verify your roaming status?"
26,plan_upgrade,What benefits will I get if I upgrade to family plan?,neutral,"Our Family Plan offers 200GB shared data, 4 included lines, individual data limits, parental controls, and location tracking features. You can save up to 30% compared to individual plans. Each member gets their own usage dashboard and you can mix different device types. Would you like me to calculate potential savings based on your current family usage?"
27,device_support,How do I transfer my eSIM to a new phone?,neutral,"To transfer eSIM: On your new phone, go to Cellular > Add Cellular Plan > Use QR Code. You can generate a new QR code from our website or visit any store for assistance. The transfer takes about 5 minutes and your old eSIM will automatically deactivate. Would you like me to send the eSIM activation link to your email right now?"
28,customer_service,I've been waiting on hold for 45 minutes!,negative,"I sincerely apologize for this unacceptable wait time. We're experiencing higher than usual call volumes today. To make it up to you, I'm applying a $15 credit to your account. For faster service in future, our chat support typically has 2-3 minute wait times. What can I help you with today to resolve your issue quickly?"
29,data_usage,Can I gift data to a friend who's running low?,positive,"That's very thoughtful of you! Yes, you can gift data through our 'Data Sharing' feature. You can transfer 1GB, 5GB, or 10GB packages to any number on our network. The gifted data is valid for 30 days. You can do this through our app under 'Services > Gift Data'. Would you like me to guide you through the process?"
30,billing_issues,Why did my monthly bill increase by $5 this month?,negative,"I see the increase is due to the annual regulatory cost recovery fee adjustment that affects all customers. While this is a mandatory fee, I can help offset it by applying a $5 one-time credit to your account. I'm also checking if you qualify for any loyalty discounts that could reduce your overall monthly cost. Let me process that credit for you now."
31,network_coverage,The signal in my basement office is non-existent,negative,"I understand how important reliable connectivity is for your work. For basement locations, I recommend our WiFi Calling feature which uses your internet for calls. We also offer signal boosters that can improve coverage in challenging areas. I can send you a complimentary signal booster for 60 days. Would you like me to arrange this and help set up WiFi calling?"
32,international_roaming,Do you have daily roaming packages for short trips?,neutral,"Yes, we have daily roaming packages starting at $3 per day for 500MB data and unlimited texts. This is perfect for short trips of 1-3 days. For longer trips, our weekly packages offer better value. The daily package auto-renews but you can cancel anytime through our app. Would you like me to explain the different daily package options?"
